GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second),HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-5.7935486,-7.298416,8.625671,0.46565247,1879.5,69.41176605,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.1152802,2.5704803,8.431732,0.36483985,1879.5,69.41176605,39,17.25490189,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:11.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-2.2597046,3.860962,2.7359314,-0.44645244,1879.5,69.41176605,39,23.52941132,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-5.1255646,0.8442688,6.74382,-0.11325914,1879.5,69.41176605,39,23.52941132,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-3.2556915,-2.1772156,8.589752,-0.2101382,1879.5,69.41176605,39,23.52941132,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-5.613983,-4.3343964,14.690186,-0.1710721,1879.5,69.41176605,39,23.52941132,11.55316162,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-4.15831,-2.873932,9.578552,0.12302631,1879.5,69.41176605,39,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,2.9859924,-16.037247,21.04918,0.21493946,1879.5,69.41176605,39,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.6372223,-6.146805,8.005569,0.16606484,2077.5,69.41176605,39,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.9628296,-6.0510406,8.259354,0.13793465,2077.5,69.41176605,39,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.6036987,-5.3279877,8.350327,0.041864812,2077.5,69.41176605,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-1.1871033,-5.397415,7.328003,0.049143434,2077.5,69.41176605,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:12.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.7298126,-4.966461,7.636856,0.040873658,2077.5,69.41176605,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.0,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.6268616,-5.7110596,8.89621,0.09852797,2077.5,47.45098114,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.1,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.44010925,-5.095749,8.204285,0.040928677,2077.5,47.45098114,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.2,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.2677307,-5.325592,8.740585,0.04918644,2077.5,47.45098114,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.3,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,-0.09535217,-5.028717,9.063812,0.048435893,2077.5,47.45098114,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.4,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.10575867,-4.7653503,8.604126,0.021670163,2077.5,47.45098114,43,23.52941132,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.5,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.25180054,-4.772537,9.185913,0.052598696,2077.5,47.45098114,43,30.98039246,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.6,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.2853241,-4.9233704,9.023102,0.048634052,2077.5,47.45098114,43,30.98039246,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.7,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.49362183,-4.6288757,8.62088,0.01771909,2077.5,47.45098114,43,30.98039246,6.27489996,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.8,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.5582733,-4.573822,8.707062,0.023190916,2077.5,47.45098114,43,30.98039246,4.643848896,-
Wed Sep 04 12:48:08 GMT+02:00 2019,48:13.9,11.15600498,43.46715711,14.54,8.576,160.7380371,109.2,0.32603455,-4.372696,8.946487,0.040418986,2077.5,47.45098114,43,30.98039246,4.643848896,-
