GPSTime,DeviceTime,Longitude,Latitude,GPSSpeed(Meters/second), HorizontalDilutionofPrecision,Altitude,Bearing,G(x),G(y),G(z),G(calibrated),EngineRPM(rpm),EngineLoad(%),Speed(OBD)(km/h),ThrottlePosition(Manifold)(%),KilometersPerLitre(Instant)(kpl),MassAirFlowRate(g/s)
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.90782166,-4.592972,8.338364,-0.006195128,3894,90.58823395,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.0035858,-4.408615,8.259354,-0.021168888,3894,90.58823395,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:33.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.97724915,-4.329605,8.565811,0.00243187,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.0275269,-4.4924164,8.711853,0.006128417,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.8910675,-4.6432495,8.707062,0.031814158,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.118515,-4.6312714,8.414978,0.00474304,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,1.094574,-4.4134064,8.333572,0.027724177,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.9102173,-4.590576,8.7789,0.033109605,3894,84.31372833,81,40,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.89823914,-4.8515472,8.702286,0.0387457,3894,84.31372833,81,36.47058868,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.9030304,-4.767746,8.848328,0.047702253,3894,84.31372833,81,36.47058868,5.127428055,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.75938416,-4.6623993,8.534683,0.022572577,3894,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.7402191,-4.573822,8.3647,-0.006258309,3894,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:34.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.53671265,-5.0502625,8.742981,0.049686015,3894,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.0,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.45292664,-4.909012,8.666367,0.031985138,4058.25,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.1,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.54389954,-4.6432495,8.192322,-0.019493759,4058.25,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.2,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.44813538,-4.6073303,7.8068542,-0.055813134,4058.25,84.31372833,81,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.3,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.18237305,-4.8419647,8.082184,-0.020413637,4058.25,84.31372833,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.4,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.22547913,-5.138855,8.216263,-0.014689207,4058.25,84.31372833,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.5,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.35237122,-4.949707,8.235413,-8.91E-04,4058.25,84.31372833,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.6,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.38587952,-5.423752,8.589752,0.05530089,4058.25,56.07843399,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.7,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.158432,-5.35672,8.728622,0.045001447,4058.25,56.07843399,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.8,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.21829224,-4.9880066,8.1875305,-0.003450513,4058.25,56.07843399,84,36.47058868,5.420321941,-
Mon Aug 26 13:03:28 GMT+02:00 2019,03:35.9,9.31365458,42.50732762,21.45,30.016,179.4223633,76.4,0.36672974,-5.284897,8.467651,0.03717333,4058.25,56.07843399,84,36.47058868,5.420321941,-
